dataset,tasks,epochs_per_task,lr,gamma,batch_size,dropout,hiddens,seed,experiment_dir
rot-mnist,2,3,0.01,1.0,64,0.0,100,7891,outputs/9739B5
rot-mnist,2,3,0.01,1.0,64,0.5,100,7891,outputs/D7D1E8
rot-mnist,2,3,0.01,1.0,16,0.0,100,7891,outputs/E556F5
rot-mnist,2,3,0.01,1.0,16,0.5,100,7891,outputs/A60EA4
rot-mnist,2,3,0.01,0.4,64,0.0,100,7891,outputs/7247EB
rot-mnist,2,3,0.01,0.4,64,0.5,100,7891,outputs/DBCA19
rot-mnist,2,3,0.01,0.4,16,0.0,100,7891,outputs/ECAD89
rot-mnist,2,3,0.01,0.4,16,0.5,100,7891,outputs/13E87D
rot-mnist,2,3,0.1,1.0,64,0.0,100,7891,outputs/FCDDBE
rot-mnist,2,3,0.1,1.0,64,0.5,100,7891,outputs/675E0A
rot-mnist,2,3,0.1,1.0,16,0.0,100,7891,outputs/70C930
rot-mnist,2,3,0.1,1.0,16,0.5,100,7891,outputs/45BEFF
rot-mnist,2,3,0.1,0.4,64,0.0,100,7891,outputs/D06428
rot-mnist,2,3,0.1,0.4,64,0.5,100,7891,outputs/9BEDFF
rot-mnist,2,3,0.1,0.4,16,0.0,100,7891,outputs/907EAF
rot-mnist,2,3,0.1,0.4,16,0.5,100,7891,outputs/FAC896
rot-mnist,2,3,0.01,1.0,64,0.0,100,1145,outputs/BB062E
rot-mnist,2,3,0.01,1.0,64,0.5,100,1145,outputs/24E0F1
rot-mnist,2,3,0.01,1.0,16,0.0,100,1145,outputs/38A633
rot-mnist,2,3,0.01,1.0,16,0.5,100,1145,outputs/E3A135
rot-mnist,2,3,0.01,0.4,64,0.0,100,1145,outputs/7352CB
rot-mnist,2,3,0.01,0.4,64,0.5,100,1145,outputs/7050F6
rot-mnist,2,3,0.01,0.4,16,0.0,100,1145,outputs/318CE6
rot-mnist,2,3,0.01,0.4,16,0.5,100,1145,outputs/F5F552
rot-mnist,2,3,0.1,1.0,64,0.0,100,1145,outputs/A765BF
rot-mnist,2,3,0.1,1.0,64,0.5,100,1145,outputs/632819
rot-mnist,2,3,0.1,1.0,16,0.0,100,1145,outputs/FAA0CB
rot-mnist,2,3,0.1,1.0,16,0.5,100,1145,outputs/D17128
rot-mnist,2,3,0.1,0.4,64,0.0,100,1145,outputs/340761
rot-mnist,2,3,0.1,0.4,64,0.5,100,1145,outputs/2EAC1B
rot-mnist,2,3,0.1,0.4,16,0.0,100,1145,outputs/1C7435
rot-mnist,2,3,0.1,0.4,16,0.5,100,1145,outputs/D36A81
rot-mnist,2,3,0.01,1.0,64,0.0,100,9723,outputs/E4A708
rot-mnist,2,3,0.01,1.0,64,0.5,100,9723,outputs/9DF00F
rot-mnist,2,3,0.01,1.0,16,0.0,100,9723,outputs/0C157E
rot-mnist,2,3,0.01,1.0,16,0.5,100,9723,outputs/B6E548
rot-mnist,2,3,0.01,0.4,64,0.0,100,9723,outputs/688BEF
rot-mnist,2,3,0.01,0.4,64,0.5,100,9723,outputs/AC8BD3
rot-mnist,2,3,0.01,0.4,16,0.0,100,9723,outputs/738C22
rot-mnist,2,3,0.01,0.4,16,0.5,100,9723,outputs/7BA726
rot-mnist,2,3,0.1,1.0,64,0.0,100,9723,outputs/D78671
rot-mnist,2,3,0.1,1.0,64,0.5,100,9723,outputs/812B60
rot-mnist,2,3,0.1,1.0,16,0.0,100,9723,outputs/D61811
rot-mnist,2,3,0.1,1.0,16,0.5,100,9723,outputs/8A1F68
rot-mnist,2,3,0.1,0.4,64,0.0,100,9723,outputs/97306F
rot-mnist,2,3,0.1,0.4,64,0.5,100,9723,outputs/4437F8
rot-mnist,2,3,0.1,0.4,16,0.0,100,9723,outputs/C70328
rot-mnist,2,3,0.1,0.4,16,0.5,100,9723,outputs/7E66A1
